sk_regiao,nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude
JR6NJV.4)<K^[)S<UF0QW/,AVENIDA EURICO LOBO,SN,62280000,CENTRO,SANTA QUITERIA,CE,"-4,3253636","-40,1526661"
"A6G#6!D6#),GA-.3B70=A'",AVENIDA PRESIDENTE VARGAS,710A,75908420,CENTRO,RIO VERDE,GO,"-17,7936714","-50,9286743"
"J5P\""8B>U^DZC*,:*)I0""-",RUA LAZARO GIORDANI,28,95701188,JARDIM GLORIA,BENTO GONCALVES,RS,"-29,1736185","-51,5307994"
"P$O&3Y4U7+D2P45_`O)PS,",AVENIDA BEIRA MAR,1304,95590000,CENTRO,TRAMANDAI,RS,"-29,9899785","-50,1259463"
"PV;IIUEY:0#AA\A75K3K(""",ESTRADA MUNICIPAL JABOTICABAL A PITANGUEIRAS DEPOIS DO DISTRITO LUZITANIA,SN,14870000,RURAL,JABOTICABAL,SP,"-21,2525138","-48,3256762"
"K=*9K=+E[:12[K#'GB_0%*",BR 20,SN,61656240,BOM PRINCIPIO,CAUCAIA,CE,"-3,767301","-38,6301501"
"G7_R$2WPPMWH]%""P55'1>0",ESTRADA CRISTAIS PTA SENTIDO BORDA DA MATA,0,14460000,RURAL,CRISTAIS PAULISTA,SP,"-20,4065592","-47,4225715"
"H/]#2""6+X;WU#%][DB!UW0",RUA ERNESTO MOHR,217,95660000,AGUAS BRANCAS,TRES COROAS,RS,"-29,5188434","-50,7690873"
GJ4FI[SB^)VX.SH7AU$5!&,RUA MARATONA,177,99054190,SAO LUIZ GONZAGA,PASSO FUNDO,RS,"-28,2586063","-52,3780278"
"MH1B*UNY/?>L;)L00$VH,(",AVENIDA MINISTRO PETRONIO PORTELA,1449,08210040,FREGUESIA DO O,SAO PAULO,SP,"-23,4870744","-46,697155"
"N""%IK2/*MPPNS].R0H/_`0",SITIO SAO LUIZ,SN,13800970,SOBRADINHO,MOGI MIRIM,SP,"-22,432364","-46,9509597"
