chave_fato,quantidade_empresa,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados,faixa_veiculos
4724398000160,4724398000160,,,,0 a 5
12842235000100,12842235000100,,,,0 a 5
6932990000930,6932990000930,,,,0 a 5
8293513000140,8293513000140,,,,0 a 5
1475296000160,1475296000160,,,,0 a 5
12077443000160,12077443000160,,,,0 a 5
13388322000100,13388322000100,,,,0 a 5
10806211000170,10806211000170,,,,0 a 5
24008849000170,24008849000170,,,,0 a 5
14239440000100,14239440000100,,,,0 a 5
19791896009310,19791896009310,,0.0,1.0,0 a 5
12121224000130,12121224000130,,,,0 a 5
8508919000100,8508919000100,,,,0 a 5
45064714000100,45064714000100,,,,0 a 5
5796462000180,5796462000180,,,,0 a 5
4522679000130,4522679000130,,,,0 a 5
12045619000100,12045619000100,,,,0 a 5
8190659000160,8190659000160,,4.0,0.0,0 a 5
8961445000140,8961445000140,,,,0 a 5
69276293000130,69276293000130,,,,0 a 5
84462852000190,84462852000190,,,,0 a 5
11902017000150,11902017000150,,,,0 a 5
3504150000120,3504150000120,,,,0 a 5
18867903000130,18867903000130,,,,0 a 5
10572071154500,10572071154500,,,,0 a 5
12870677000160,12870677000160,,,,0 a 5
4810494000120,4810494000120,,1.0,0.0,0 a 5
12465352000100,12465352000100,,,,0 a 5
11831846000190,11831846000190,,,,0 a 5
25099318000100,25099318000100,,,,0 a 5
8480976000110,8480976000110,,,,0 a 5
1665705000190,1665705000190,,,,0 a 5
13078757000140,13078757000140,,,,0 a 5
86644432000150,86644432000150,,,,0 a 5
64109770000150,64109770000150,,4.0,0.0,0 a 5
12775703000170,12775703000170,,,,0 a 5
4825302000150,4825302000150,,,,0 a 5
6888507000100,6888507000100,,,,0 a 5
8798517000180,8798517000180,,,,0 a 5
9718148000130,9718148000130,,,,0 a 5
7351457000190,7351457000190,,,,0 a 5
4661933000180,4661933000180,,,,0 a 5
75180760002170,75180760002170,,,,0 a 5
3959127000120,3959127000120,,,,0 a 5
15103924000190,15103924000190,,,,0 a 5
4894707000140,4894707000140,,,,0 a 5
12008981000100,12008981000100,,,,0 a 5
26509711000180,26509711000180,,2.0,0.0,0 a 5
6871885000180,6871885000180,,,,0 a 5
11357342000180,11357342000180,,,,0 a 5
8721697000100,8721697000100,,,,0 a 5
66820424000100,66820424000100,,,,0 a 5
7037284000130,7037284000130,,,,0 a 5
6824964000130,6824964000130,,,,0 a 5
8446137000500,8446137000500,,,,0 a 5
4190594000100,4190594000100,,,,0 a 5
25916255000120,25916255000120,,,,0 a 5
15624386000180,15624386000180,,,,0 a 5
5467204000150,5467204000150,,,,0 a 5
3939774000170,3939774000170,,,,0 a 5
2024919000140,2024919000140,,,,0 a 5
10169545000180,10169545000180,,,,0 a 5
17491887000160,17491887000160,,,,0 a 5
31848914000130,31848914000130,,,,0 a 5
74444209000180,74444209000180,,,,0 a 5
8923814000100,8923814000100,,,,0 a 5
6224697000160,6224697000160,,,,0 a 5
2908796000100,2908796000100,,,,0 a 5
2744482000110,2744482000110,,,,0 a 5
13316722000100,13316722000100,,,,0 a 5
39826375000140,39826375000140,,,,0 a 5
14286731000150,14286731000150,,,,0 a 5
10182315000150,10182315000150,,,,0 a 5
10905547000190,10905547000190,,,,0 a 5
8004405000100,8004405000100,,,,0 a 5
82965351000100,82965351000100,,,,0 a 5
43863687000100,43863687000100,,,,0 a 5
64996218000120,64996218000120,,,,0 a 5
80152713000100,80152713000100,,,,0 a 5
65429367000170,65429367000170,,,,0 a 5
62239843000100,62239843000100,,,,0 a 5
76756196000100,76756196000100,,,,0 a 5
92130442000170,92130442000170,,,,0 a 5
21601919000100,21601919000100,,,,0 a 5
16726705000120,16726705000120,,,,0 a 5
17140401000140,17140401000140,,,,0 a 5
56189426000190,56189426000190,,,,0 a 5
37219672000100,37219672000100,,,,0 a 5
77150381000110,77150381000110,,,,0 a 5
26572347000100,26572347000100,,,,0 a 5
20164661000160,20164661000160,,,,0 a 5
