cd_cnpj;cod_ordem;cod_ramo;desc_ramo;chave_cnae
15160571000160;0;7119704;ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE;71
10357393000220;0;4742300;ATIVIDADES DE LIMPEZA NAO ESPECIFICADAS ANTERIORMENTE;47
08925731000150;0;6619399;OUTRAS ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS NAO ESPECIFICADAS ANTERIORMENTE;66
16053467000130;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
14737392000180;0;4772500;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;47
04569277000190;0;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;47
07921293000270;0;4755502;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;47
10944008000160;0;8211300;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;82
05582594000100;0;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;68
01051495000140;0;4619200;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO;46
57269763000150;0;6399200;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;63
14452737000150;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
13335552000100;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
13878559000160;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
13941989000180;0;4321500;INSTALACAO E MANUTENCAO ELETRICA;43
15182288000130;0;4772500;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;47
15553446000110;0;9602502;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;96
12164098000100;0;4755503;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;47
07081651000100;0;5510803;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS;55
17283441000140;0;6462000;HOLDINGS DE INSTITUICOES NAOFINANCEIRAS;64
07806565000100;0;8112500;CONDOMINIOS PREDIAIS;81
11050679000140;0;9499500;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
13169734000140;0;4772500;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;47
15190246000140;0;4330404;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;43
16480744000190;0;4321500;INSTALACAO E MANUTENCAO ELETRICA;43
14465596000100;0;4754702;COMERCIO VAREJISTA DE ARTIGOS DE COLCHOARIA;47
09331590000100;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
11306905000100;0;4520001;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
15676707000190;0;4330499;OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO;43
02300267000120;0;3314711;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;33
81620106000190;0;1412601;CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA;14
68035252000190;0;4671100;COMERCIO ATACADISTA DE MADEIRA E PRODUTOS DERIVADOS;46
14753183000120;0;121101;CULTIVO DE COCODABAIA;1
11185206000150;0;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS;47
95035473000130;0;4520001;SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES;45
66351065000190;0;1741902;EDICAO DE CADASTROS, LISTAS E DE OUTROS PRODUTOS GRAFICOS;17
48792485000120;0;1813099;IMPRESSAO DE MATERIAL PARA OUTROS USOS;18
04617529000100;0;6399200;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;63
07037992000170;0;2539001;SERVICOS DE USINAGEM, TORNEARIA E SOLDA;25
